"Freq [GHz]","DG12 []","DG13 []","DG14 []","DG23 []","DG24 []","DG34 []"
6.5,9.99999999958582,9.99999999994687,9.99999999987102,9.99999999945511,9.99999999996027,9.99999999984663
6.52,9.99999999998643,9.99999999999986,9.99999999999898,9.99999999997489,9.99999999999986,9.99999999999481
6.54,9.99999999999765,9.99999999999945,9.9999999999898,9.99999999999921,9.9999999999993,9.99999999999039
6.56,9.9999999994876,9.99999999999338,9.99999999942634,9.99999999963065,9.99999999999395,9.99999999952388
6.58,9.9999999940509,9.99999999998893,9.99999999505816,9.99999999507445,9.99999999999072,9.99999999554236
6.6,9.9999999689137,9.99999999999316,9.99999997748896,9.99999997249974,9.99999999999451,9.9999999782714
6.62,9.99999988950383,9.99999999999851,9.99999992627875,9.99999989758246,9.99999999999881,9.9999999248951
6.64,9.99999968798905,9.99999999999994,9.99999980331809,9.99999969916638,9.99999999999993,9.99999979062832
6.66,9.99999924380398,9.99999999999981,9.99999954392795,9.99999924431514,9.99999999999972,9.99999949679625
6.68,9.99999835126798,9.99999999999624,9.99999904303779,9.99999829795625,9.99999999999599,9.99999891396224
6.7,9.99999665248603,9.99999999998161,9.99999812659406,9.99999644902967,9.99999999998141,9.99999783223498
6.72,9.99999347081667,9.99999999995174,9.99999647464912,9.99999296118376,9.99999999994939,9.99999589255212
6.74,9.99998736793244,9.99999999988262,9.9999933786753,9.99998650473158,9.99999999986552,9.99999239905447
6.76,9.99997518971503,9.99999999933046,9.99998691294734,9.99997524068675,9.99999999919318,9.99998581849701
6.78,9.99995332207862,9.99999997873307,9.99997151523883,9.99996107710457,9.99999997661169,9.99997302702161
6.8,9.99993362226265,9.99999897972313,9.99993689077857,9.99995521746178,9.99999899861685,9.99994990286805
6.82,9.99993093643889,9.99999177605816,9.9998859478145,9.99995517473515,9.99999254181919,9.99991825512643
6.84,9.99993711989462,9.99999054545533,9.99986684054986,9.99995833107275,9.99999155461605,9.99990966192718
6.86,9.99994479628613,9.99999541620869,9.99988540781855,9.99996041279874,9.99999586819596,9.99991907053972
6.88,9.99994705728271,9.99999802027171,9.99990090998875,9.99995767006993,9.9999982071237,9.99992300474336
6.9,9.99994457835091,9.99999905837593,9.99990622947691,9.99995115763073,9.99999914476163,9.9999199555485
6.92,9.99993917151601,9.99999950235894,9.99990493158805,9.99994208310133,9.99999954563451,9.99991244285664
6.94,9.99993191285543,9.99999971508579,9.99989969663039,9.99993112288463,9.99999973748983,9.99990203562149
6.96,9.99992339597923,9.9999998266728,9.99989198071524,9.99991866982043,9.99999983820413,9.99988958453311
6.98,9.99991399129259,9.99999988887762,9.99988261389976,9.9999049995057,9.99999989454157,9.99987561246133
7,9.99990397656163,9.99999992481376,9.99987214140531,9.99989035171775,9.99999992727446,9.99986051244526
7.02,9.99989360106117,9.99999994584247,9.99986098847914,9.9998749732256,9.99999994655229,9.9998446437959
7.04,9.99988311925588,9.99999995791643,9.99984954177327,9.99985914359612,9.99999995766422,9.99982838233275
7.06,9.99987280898791,9.99999996421223,9.99983819062504,9.99984319206647,9.99999996341701,9.99981214801797
7.08,9.99986297972735,9.99999996630861,9.99982734628379,9.99982750768036,9.99999996518869,9.99979641850081
7.1,9.99985397247621,9.99999996471319,9.99981744616798,9.99981254228287,9.99999996339285,9.99978173084634
7.12,9.99984615136912,9.99999995903698,9.99980894571301,9.9997988048367,9.99999995762938,9.99976867118943
7.14,9.99983988672578,9.99999994792883,9.99980229885535,9.99978684527256,9.9999999466268,9.99975785140937
7.16,9.99983552986355,9.99999992881291,9.99979792832874,9.99977722660085,9.99999992801939,9.99974987254188
7.18,9.99983338117986,9.99999989746201,9.9997961881154,9.99977048530805,9.99999989799284,9.99974527629784
7.2,9.99983365464786,9.99999984747272,9.99979732216486,9.99976708210961,9.99999985085908,9.99974448851134
