"cut1 [mm]","Wo1 [mm]","Freq [GHz]","dB(S(1,1)) []"
1.5,14,6.14,-3.51190026548091
1.5,14,6.16,-3.4871075144252
1.5,14,6.18,-3.47683099471818
1.5,14,6.2,-3.48574731489059
1.5,14,6.22,-3.51699398727967
1.5,14,6.24,-3.57263370294762
1.5,14,6.26,-3.65416288136682
1.5,14,6.28,-3.76296167482296
1.5,14,6.3,-3.90065621293105
1.5,14,6.32,-4.06940623217531
1.5,14,6.34,-4.27214875023563
1.5,14,6.36,-4.51283249525478
1.5,14,6.38,-4.7966771928258
1.5,14,6.4,-5.13049158893087
1.5,14,6.42,-5.52308648379969
1.5,14,6.44,-5.98582422068139
1.5,14,6.46,-6.53335094105383
1.5,14,6.48,-7.1845498679495
1.5,14,6.5,-7.96368774968272
1.5,14,6.52,-8.90144250081524
1.5,14,6.54,-10.0344205152283
1.5,14,6.56,-11.3977676860452
1.5,14,6.58,-12.9910311643372
1.5,14,6.6,-14.6550614602104
1.5,14,6.62,-15.7931794789287
1.5,14,6.64,-15.5045865977454
1.5,14,6.66,-13.8937948427848
1.5,14,6.68,-11.8935484157729
1.5,14,6.7,-10.033344167613
1.5,14,6.72,-8.44400162726553
1.5,14,6.74,-7.12123308429539
1.5,14,6.76,-6.03037312922168
1.5,14,6.78,-5.13486209119179
1.5,14,6.8,-4.40263166609543
1.5,14,6.82,-3.80687356101565
1.5,14,6.84,-3.32556083921884
1.5,14,6.86,-2.94080311499773
1.5,14,6.88,-2.63826392306211
1.5,14,6.9,-2.40666420672642
1.5,14,6.92,-2.23735575494501
1.5,14,6.94,-2.12394196720068
1.5,14,6.96,-2.06191697552913
1.5,14,6.98,-2.04828026610691
1.5,14,7,-2.08106143734312
1.5,14,7.02,-2.15866117910842
1.5,14,7.04,-2.27889104722692
1.5,14,7.06,-2.43760702487558
1.5,14,7.08,-2.62694493981239
1.5,14,7.1,-2.83347394463686
1.5,14,7.12,-3.03713057129619
1.5,14,7.14,-3.21234464898827
1.5,14,7.16,-3.33256425399145
1.5,14,7.18,-3.37756868605296
1.5,14,7.2,-3.34016570221492
